OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,ShippedData,SippingCost,IsDomestic,DeliveryDays,DeliveryStatus
1000.0,C001,2025-05-17,2025-07-30,-57.2545460244498,Germany,Hamburg,Kiwilytics Goods.,2025-07-30,,Yes,74.0,Late
1001.0,C002,2025-01-26,2025-07-30,320.61,Canada,Montreal,UPS Worldwide,2025-07-30,,No,185.0,Late
1002.0,C003,2025-03-08,2025-07-30,165.17,Canada,Vancouver,FedEx Logistics,2025-07-30,,No,144.0,Late
1003.0,C004,2025-03-24,2025-07-30,12.55,Germany,Munich,Aramex International,2025-07-30,,Yes,128.0,Late
1004.0,C005,2025-04-15,2025-07-30,186.36,Canada,Vancouver,FedEx Logistics,2025-07-30,,No,106.0,Late
1005.0,C006,2024-12-24,2025-07-30,74.93,Usa,New York,UPS Worldwide,2025-07-30,,No,218.0,Late
1006.0,C007,,2025-07-30,229.93,Usa,Los Angeles,Aramex International,2025-07-30,,No,,Unknown
1007.0,C008,2024-08-10,2025-07-30,209.94,Germany,Berlin,Aramex International,2025-07-30,,Yes,354.0,Late
1008.0,C009,2025-02-06,2025-07-30,,Usa,Houston,DHL Express,2025-07-30,,No,174.0,Late
1009.0,C010,,2025-07-30,394.37,Usa,Chicago,Kiwilytics Goods.,2025-07-30,,No,,Unknown
1010.0,C011,2024-12-03,2025-07-30,16.05,Germany,Unspecified,Aramex International,2025-07-30,,Yes,239.0,Late
1011.0,C012,2024-10-08,2025-07-30,391.79,Canada,Vancouver,DHL Express,2025-07-30,,No,295.0,Late
1012.0,C013,,2025-07-30,284.17,Canada,Vancouver,Kiwilytics Goods.,2025-07-30,,No,,Unknown
1013.0,C014,2025-02-04,2025-07-30,128.94,Usa,New York,DHL Express,2025-07-30,,No,176.0,Late
1014.0,C015,2024-10-20,,345.8,Canada,Montreal,FedEx Logistics,,,No,,Unknown
1015.0,Unknown,2024-12-14,2025-07-30,141.77,Canada,Toronto,FedEx Logistics,2025-07-30,,No,228.0,Late
1016.0,C017,2025-06-04,2025-07-30,81.51,Germany,Munich,Kiwilytics Goods.,2025-07-30,,Yes,56.0,Late
1017.0,C018,2024-11-07,2025-07-30,145.22,Usa,Chicago,DHL Express,2025-07-30,,No,265.0,Late
1018.0,C019,2024-12-09,2025-07-30,393.51,Egypt,Giza,UPS Worldwide,2025-07-30,,No,233.0,Late
1019.0,C020,2024-11-15,2025-07-30,,Usa,Chicago,DHL Express,2025-07-30,,No,257.0,Late
1020.0,C021,2025-07-06,,252.94,Uk,Manchester,UPS Worldwide,,,No,,Unknown
1021.0,C022,2025-03-18,2025-07-30,234.35,Canada,Toronto,Aramex International,2025-07-30,,No,134.0,Late
1022.0,C023,2025-04-28,,13.32,Egypt,Giza,Aramex International,,,No,,Unknown
1023.0,C024,2025-07-06,2025-07-30,422.39,Egypt,Giza,Aramex International,2025-07-30,,No,24.0,Late
1024.0,C025,,2025-07-30,432.48,Uk,London,DHL Express,2025-07-30,,No,,Unknown
1025.0,C026,2025-03-02,2025-07-30,221.0,Germany,Hamburg,Kiwilytics Goods.,2025-07-30,,Yes,150.0,Late
1026.0,C027,2024-08-02,2025-07-30,329.01,Germany,Munich,UPS Worldwide,2025-07-30,,Yes,362.0,Late
1027.0,C028,2025-02-15,2025-07-30,157.21,Canada,Montreal,DHL Express,2025-07-30,,No,165.0,Late
1028.0,C029,2024-10-12,2025-07-30,350.69,Germany,Berlin,Aramex International,2025-07-30,,Yes,291.0,Late
1029.0,C030,2024-09-01,2025-07-30,97.04,Egypt,Alexandria,FedEx Logistics,2025-07-30,,No,332.0,Late
1030.0,C001,,2025-07-30,,Uk,London,Aramex International,2025-07-30,,No,,Unknown
1031.0,C002,2024-10-31,2025-07-30,320.12,Canada,Montreal,Kiwilytics Goods.,2025-07-30,,No,272.0,Late
1032.0,C003,2025-05-05,2025-07-30,393.17,Usa,Houston,Aramex International,2025-07-30,,No,86.0,Late
1033.0,C004,2025-01-03,2025-07-30,,Germany,Berlin,Kiwilytics Goods.,2025-07-30,,Yes,208.0,Late
1034.0,C005,2025-02-04,,188.86,Canada,Montreal,FedEx Logistics,,,No,,Unknown
1035.0,C006,2025-03-02,2025-07-30,107.9,Uk,Liverpool,UPS Worldwide,2025-07-30,,No,150.0,Late
1036.0,C007,2025-05-20,2025-07-30,98.16,Canada,Montreal,Aramex International,2025-07-30,,No,71.0,Late
1037.0,C008,,2025-07-30,23.19,Germany,Berlin,Kiwilytics Goods.,2025-07-30,,Yes,,Unknown
1038.0,C009,2024-10-31,2025-07-30,472.06,Egypt,Cairo,UPS Worldwide,2025-07-30,,No,272.0,Late
1039.0,C010,2025-04-24,,400.87,Uk,Liverpool,FedEx Logistics,,,No,,Unknown
1040.0,C011,2025-01-30,2025-07-30,43.89,Usa,Los Angeles,Kiwilytics Goods.,2025-07-30,,No,181.0,Late
1041.0,C012,2025-04-06,2025-07-30,399.57,Uk,Manchester,FedEx Logistics,2025-07-30,,No,115.0,Late
1042.0,C013,2025-05-02,2025-07-30,78.2,Canada,Montreal,FedEx Logistics,2025-07-30,,No,89.0,Late
1043.0,C014,2025-02-05,2025-07-30,133.81,Usa,Chicago,DHL Express,2025-07-30,,No,175.0,Late
1044.0,C015,2025-01-20,,217.33,Palestine,Gaza,UPS Worldwide,,,No,,Unknown
1044.0,C016,2025-06-02,,230.04,Uk,London,DHL Express,,,No,,Unknown
1046.0,C017,2024-08-05,,295.3,Canada,Montreal,FedEx Logistics,,,No,,Unknown
1047.0,C018,2024-09-04,2025-07-30,462.51,Usa,Chicago,Kiwilytics Goods.,2025-07-30,,No,329.0,Late
1048.0,C019,2024-11-21,,214.97,Uk,London,Aramex International,,,No,,Unknown
1049.0,C020,2024-10-24,2025-07-30,,Usa,New York,DHL Express,2025-07-30,,No,279.0,Late
1050.0,C021,2025-01-03,2025-07-30,273.08,Palestine,Gaza,Aramex International,2025-07-30,,No,208.0,Late
1051.0,C022,2025-04-24,2025-07-30,51.64,Egypt,Cairo,DHL Express,2025-07-30,,No,97.0,Late
1052.0,C023,2024-11-01,2025-07-30,332.22,Egypt,Alexandria,UPS Worldwide,2025-07-30,,No,271.0,Late
1053.0,C024,2024-11-25,2025-07-30,327.03,Palestine,Al Quds,Aramex International,2025-07-30,,No,247.0,Late
1054.0,C025,2025-04-13,2025-07-30,,Germany,Munich,DHL Express,2025-07-30,,Yes,108.0,Late
1055.0,C026,2025-03-12,2025-07-30,483.74,Usa,Houston,FedEx Logistics,2025-07-30,,No,140.0,Late
1056.0,C027,2024-12-20,2025-07-30,400.15,Germany,Hamburg,Kiwilytics Goods.,2025-07-30,,Yes,222.0,Late
1057.0,C028,2025-01-29,2025-07-30,58.32,Canada,Toronto,FedEx Logistics,2025-07-30,,No,182.0,Late
